Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio","1Y Return","5Y CAGR"
UNO Minda Ltd,UNOMINDA,"Auto Parts","39557.85036704","691.25","60.527657206089906","40.341082123642266","36.86257129774688"
Sundaram Finance Ltd,SUNDARMFIN,"Consumer Finance","39311.890754375","3523.5","29.83122813939416","53.42245057911696","20.05287644685292"
Bank of Maharashtra Ltd,MAHABANK,"Public Banks","39124.589355475","57.4","15.019036220911687","98.96013864818022","31.05001884945211"
3M India Ltd,3MINDIA,"Stationery","38761.24713345","32868.8","85.94130445091132","42.040146064259645","10.124862354528297"
AIA Engineering Ltd,AIAENG,"Industrial Machinery","38740.67717195","4461.2","36.6886793366511","59.96844520940905","22.764976655503144"
Coforge Ltd,COFORGE,"IT Services & Consulting","38604.12703115","6425.35","55.6415783095273","44.91418390130586","37.246339561010025"
GlaxoSmithKline Pharmaceuticals Ltd,GLAXO,"Pharmaceuticals","38114.66358966","2307.5","62.41347938308118","86.80429062942724","10.391485038188563"
Bandhan Bank Ltd,BANDHANBNK,"Private Banks","36890.0258411","228.9","16.809223350223043","0.9036808463742612","-10.778333706969"
Poonawalla Fincorp Ltd,POONAWALLA,"Consumer Finance","36776.95893861","467.7","53.7698421547875","60.63884595569294","35.35309903335826"
Sona BLW Precision Forgings Ltd,SONACOMS,"Auto Parts","36253.8326942","630.35","91.71220008651655","39.736200399024604",
Voltas Ltd,VOLTAS,"Home Electronics & Appliances","36157.4299635","1048.75","267.8129765461778","27.65504229809507","13.628515773001038"
Kalyan Jewellers India Ltd,KALYANKJIL,"Precious Metals, Jewellery & Watches","36072.45805614","347.9","83.28898188903275","214.4148215092634",
NLC India Ltd,NLCINDIA,"Metals - Diversified","35955.48727137","265.6","25.76198503336722","251.09054857898212","32.96748135441305"
Federal Bank Ltd,FEDERALBNK,"Private Banks","35856.2339721","145.85","11.329986214293847","9.414853713428343","11.07836176313497"
Dixon Technologies (India) Ltd,DIXON,"Home Electronics & Appliances","35834.68325645","6237.8","140.242185568449","125.55368733163384","68.57949597278885"
Thermax Limited,THERMAX,"Industrial Machinery","35827.4754575","3094.85","79.56533668857855","59.421521660742805","23.079472161474435"
Mahindra and Mahindra Financial Services Ltd,M&MFIN,"Consumer Finance","35695.701619679996","287.45","17.224330061609727","20.878889823380984","2.5051579728021522"
Housing and Urban Development Corporation Ltd,HUDCO,"Specialized Finance","34502.7465","208","20.278675290784815","347.31182795698925","37.87368110719984"
Punjab & Sind Bank,PSB,"Public Banks","34465.044082995","65.1","26.248281912961573","132.08556149732618","18.381705220942514"
LIC Housing Finance Ltd,LICHSGFIN,"Home Financing","34411.94128","634.25","11.90411562357302","60.63061922248954","6.628232408811052"
Apollo Tyres Limited,APOLLOTYRE,"Tires & Rubber","34327.2061313","539.7","31.075469049916727","62.82998944033793","21.0265010760329"
